years,argentina
1991-01-01,5.44000005722046
1992-01-01,6.3600001335144
1993-01-01,10.1000003814697
1994-01-01,11.7600002288818
1995-01-01,18.7999992370605
1996-01-01,17.1100006103516
1997-01-01,14.8199996948242
1998-01-01,12.6499996185303
1999-01-01,14.0500001907349
2000-01-01,15.0
2001-01-01,17.3199996948242
2002-01-01,19.5900001525879
2003-01-01,15.3599996566772
2004-01-01,13.5200004577637
2005-01-01,11.5100002288818
2006-01-01,10.0799999237061
2007-01-01,8.47000026702881
2008-01-01,7.84000015258789
2009-01-01,8.64999961853027
2010-01-01,7.71000003814697
2011-01-01,7.17999982833862
2012-01-01,7.21999979019165
2013-01-01,7.09999990463257
2014-01-01,7.26999998092651
2015-01-01,7.52400016784668
2016-01-01,8.10900020599365
2017-01-01,8.35000038146973
2018-01-01,9.22000026702881
2019-01-01,9.84000015258789
2020-01-01,11.460000038147
2021-01-01,8.73999977111816
