years,colombia
1991-01-01,10.1199998855591
1992-01-01,9.4399995803833
1993-01-01,7.80000019073486
1994-01-01,8.25
1995-01-01,8.72000026702881
1996-01-01,11.8100004196167
1997-01-01,12.1400003433228
1998-01-01,15.0
1999-01-01,20.0599994659424
2000-01-01,20.5200004577637
2001-01-01,15.039999961853
2002-01-01,15.6300001144409
2003-01-01,14.1899995803833
2004-01-01,13.7200002670288
2005-01-01,11.8699998855591
2006-01-01,10.9630002975464
2007-01-01,10.25
2008-01-01,10.5200004577637
2009-01-01,11.3199996948242
2010-01-01,10.9799995422363
2011-01-01,10.1099996566772
2012-01-01,9.73999977111816
2013-01-01,9.05000019073486
2014-01-01,8.56999969482422
2015-01-01,8.30000019073486
2016-01-01,8.6899995803833
2017-01-01,8.86999988555908
2018-01-01,9.10999965667725
2019-01-01,9.96000003814697
2020-01-01,15.039999961853
2021-01-01,13.8999996185303
