years,honduras
1991-01-01,4.57999992370605
1992-01-01,3.05999994277954
1993-01-01,3.1159999370575
1994-01-01,3.23699998855591
1995-01-01,3.24000000953674
1996-01-01,4.36999988555908
1997-01-01,3.3199999332428
1998-01-01,4.01999998092651
1999-01-01,3.84999990463257
2000-01-01,3.85500001907349
2001-01-01,4.0
2002-01-01,4.01999998092651
2003-01-01,5.30000019073486
2004-01-01,5.98999977111816
2005-01-01,4.90999984741211
2006-01-01,3.5699999332428
2007-01-01,3.21000003814697
2008-01-01,3.16000008583069
2009-01-01,3.28999996185303
2010-01-01,4.11999988555908
2011-01-01,4.46999979019165
2012-01-01,3.75
2013-01-01,5.65000009536743
2014-01-01,7.07999992370605
2015-01-01,6.15000009536743
2016-01-01,6.73000001907349
2017-01-01,5.53000020980835
2018-01-01,5.61999988555908
2019-01-01,5.55000019073486
2020-01-01,10.6800003051758
2021-01-01,7.94700002670288
