years,méxico
1991-01-01,3.15000009536743
1992-01-01,3.24000000953674
1993-01-01,3.36999988555908
1994-01-01,4.44000005722046
1995-01-01,7.09999990463257
1996-01-01,5.46999979019165
1997-01-01,4.23999977111816
1998-01-01,3.73000001907349
1999-01-01,2.59999990463257
2000-01-01,2.65000009536743
2001-01-01,2.63000011444092
2002-01-01,3.0
2003-01-01,3.46000003814697
2004-01-01,3.94000005722046
2005-01-01,3.55999994277954
2006-01-01,3.5699999332428
2007-01-01,3.63000011444092
2008-01-01,3.86999988555908
2009-01-01,5.3600001335144
2010-01-01,5.30000019073486
2011-01-01,5.17000007629395
2012-01-01,4.8899998664856
2013-01-01,4.90999984741211
2014-01-01,4.80999994277954
2015-01-01,4.30999994277954
2016-01-01,3.85999989509583
2017-01-01,3.42000007629395
2018-01-01,3.26999998092651
2019-01-01,3.48000001907349
2020-01-01,4.44999980926514
2021-01-01,4.09000015258789
