years,el salvador
1960-01-01,-4888.0
1961-01-01,-4160.0
1962-01-01,-14351.0
1963-01-01,-14708.0
1964-01-01,-13645.0
1965-01-01,-11220.0
1966-01-01,-11307.0
1967-01-01,-10442.0
1968-01-01,-11011.0
1969-01-01,-12361.0
1970-01-01,-11367.0
1971-01-01,-16389.0
1972-01-01,-17317.0
1973-01-01,-19347.0
1974-01-01,-22844.0
1975-01-01,-26198.0
1976-01-01,-31317.0
1977-01-01,-28742.0
1978-01-01,-31463.0
1979-01-01,-34002.0
1980-01-01,-41318.0
1981-01-01,-97365.0
1982-01-01,-27159.0
1983-01-01,-25694.0
1984-01-01,-27767.0
1985-01-01,-29111.0
1986-01-01,-32181.0
1987-01-01,-32308.0
1988-01-01,-30806.0
1989-01-01,-38211.0
1990-01-01,-39690.0
1991-01-01,-50621.0
1992-01-01,-48228.0
1993-01-01,-76214.0
1994-01-01,-82069.0
1995-01-01,-89307.0
1996-01-01,-92279.0
1997-01-01,-93078.0
1998-01-01,-97089.0
1999-01-01,-98364.0
2000-01-01,-97219.0
2001-01-01,-93347.0
2002-01-01,-92034.0
2003-01-01,-91736.0
2004-01-01,-89193.0
2005-01-01,-91042.0
2006-01-01,-89964.0
2007-01-01,-56863.0
2008-01-01,-56087.0
2009-01-01,-55962.0
2010-01-01,-54686.0
2011-01-01,-53440.0
2012-01-01,-50554.0
2013-01-01,-49086.0
2014-01-01,-49130.0
2015-01-01,-51282.0
2016-01-01,-47499.0
2017-01-01,-50616.0
2018-01-01,-54158.0
2019-01-01,-55143.0
2020-01-01,-25214.0
2021-01-01,-27343.0
