years,guatemala
1960-01-01,-182.0
1961-01-01,389.0
1962-01-01,286.0
1963-01-01,-223.0
1964-01-01,-903.0
1965-01-01,-1131.0
1966-01-01,-4300.0
1967-01-01,-5150.0
1968-01-01,-8035.0
1969-01-01,-11437.0
1970-01-01,-14756.0
1971-01-01,-23505.0
1972-01-01,-25826.0
1973-01-01,-29645.0
1974-01-01,-36100.0
1975-01-01,-42349.0
1976-01-01,-50761.0
1977-01-01,-46262.0
1978-01-01,-48307.0
1979-01-01,-47285.0
1980-01-01,-44463.0
1981-01-01,-47021.0
1982-01-01,-48740.0
1983-01-01,-37255.0
1984-01-01,-29302.0
1985-01-01,-28843.0
1986-01-01,-33216.0
1987-01-01,-33790.0
1988-01-01,-32425.0
1989-01-01,-32522.0
1990-01-01,-30399.0
1991-01-01,-40877.0
1992-01-01,-36236.0
1993-01-01,-36822.0
1994-01-01,-33463.0
1995-01-01,-39890.0
1996-01-01,-43474.0
1997-01-01,-43356.0
1998-01-01,-44059.0
1999-01-01,-49731.0
2000-01-01,-66153.0
2001-01-01,-59249.0
2002-01-01,-55245.0
2003-01-01,-54666.0
2004-01-01,-47399.0
2005-01-01,-49600.0
2006-01-01,-42071.0
2007-01-01,-40617.0
2008-01-01,-42607.0
2009-01-01,-43051.0
2010-01-01,-36072.0
2011-01-01,-33204.0
2012-01-01,-32572.0
2013-01-01,-35666.0
2014-01-01,-40409.0
2015-01-01,-48162.0
2016-01-01,-39266.0
2017-01-01,-48049.0
2018-01-01,-56884.0
2019-01-01,-58095.0
2020-01-01,-23142.0
2021-01-01,-29118.0
