years,honduras
1960-01-01,-4090.0
1961-01-01,-4842.0
1962-01-01,-5519.0
1963-01-01,-6063.0
1964-01-01,-6618.0
1965-01-01,-7160.0
1966-01-01,-7649.0
1967-01-01,-8052.0
1968-01-01,-8331.0
1969-01-01,-8545.0
1970-01-01,-8746.0
1971-01-01,-8921.0
1972-01-01,-9099.0
1973-01-01,-9289.0
1974-01-01,-9475.0
1975-01-01,-9655.0
1976-01-01,-9838.0
1977-01-01,-10071.0
1978-01-01,-10353.0
1979-01-01,-10725.0
1980-01-01,-11183.0
1981-01-01,-11671.0
1982-01-01,-12163.0
1983-01-01,-12647.0
1984-01-01,-13181.0
1985-01-01,-13739.0
1986-01-01,-14253.0
1987-01-01,-14660.0
1988-01-01,-14918.0
1989-01-01,-15147.0
1990-01-01,-15350.0
1991-01-01,-15507.0
1992-01-01,-15585.0
1993-01-01,-15559.0
1994-01-01,-15246.0
1995-01-01,-14711.0
1996-01-01,-14049.0
1997-01-01,-13343.0
1998-01-01,-12638.0
1999-01-01,-11757.0
2000-01-01,-10762.0
2001-01-01,-9749.0
2002-01-01,-8815.0
2003-01-01,-7986.0
2004-01-01,-7082.0
2005-01-01,-6187.0
2006-01-01,-5451.0
2007-01-01,-5039.0
2008-01-01,-5039.0
2009-01-01,-5196.0
2010-01-01,-5418.0
2011-01-01,-5664.0
2012-01-01,-5896.0
2013-01-01,-6094.0
2014-01-01,-6302.0
2015-01-01,-6512.0
2016-01-01,-6685.0
2017-01-01,-6782.0
2018-01-01,-6768.0
2019-01-01,-6550.0
2020-01-01,-6199.0
2021-01-01,-5779.0
