years,uruguay
1960-01-01,2060.0
1961-01-01,703.0
1962-01-01,-624.0
1963-01-01,-1707.0
1964-01-01,-2620.0
1965-01-01,-3544.0
1966-01-01,-4604.0
1967-01-01,-5937.0
1968-01-01,-8028.0
1969-01-01,-11148.0
1970-01-01,-12730.0
1971-01-01,-13287.0
1972-01-01,-13818.0
1973-01-01,-14314.0
1974-01-01,-14518.0
1975-01-01,-14348.0
1976-01-01,-14094.0
1977-01-01,-14289.0
1978-01-01,-14606.0
1979-01-01,-14558.0
1980-01-01,-14254.0
1981-01-01,-13572.0
1982-01-01,-12126.0
1983-01-01,-10672.0
1984-01-01,-9735.0
1985-01-01,-8838.0
1986-01-01,-8050.0
1987-01-01,-6833.0
1988-01-01,-6585.0
1989-01-01,-7236.0
1990-01-01,-7498.0
1991-01-01,-7720.0
1992-01-01,-7856.0
1993-01-01,-7917.0
1994-01-01,-7951.0
1995-01-01,-8333.0
1996-01-01,-7396.0
1997-01-01,-6937.0
1998-01-01,-7043.0
1999-01-01,-7439.0
2000-01-01,-11074.0
2001-01-01,-14628.0
2002-01-01,-16958.0
2003-01-01,-17099.0
2004-01-01,-15661.0
2005-01-01,-16092.0
2006-01-01,-13159.0
2007-01-01,-10752.0
2008-01-01,-9460.0
2009-01-01,-8510.0
2010-01-01,-7696.0
2011-01-01,-6982.0
2012-01-01,-6318.0
2013-01-01,-5655.0
2014-01-01,-4914.0
2015-01-01,-4156.0
2016-01-01,-3506.0
2017-01-01,-3090.0
2018-01-01,-2963.0
2019-01-01,-2902.0
2020-01-01,-1486.0
2021-01-01,-1486.0
